Time,target_Open,target_High,target_Low,target_Last,target_Change,target_%Chg,target_Volume,RSI
2022-09-16 00:00:00,384.14,386.25,382.11,385.56,-4.56,-0.0117,103084800,45.1903550499097
2022-09-15 00:00:00,392.96,395.96,388.78,390.12,-4.48,-0.0114,87633800,45.1903550499097
2022-09-14 00:00:00,394.47,396.2,391.12,394.6,1.5,+0.38%,85023700,45.1903550499097
2022-09-13 00:00:00,401.83,403.1,391.92,393.1,-17.87,-0.0435,122947000,45.1903550499097
2022-09-12 00:00:00,408.78,411.73,408.46,410.97,4.37,+1.07%,69256200,45.1903550499097
2022-09-09 00:00:00,402.74,407.51,402.46,406.6,6.22,+1.55%,76706900,45.1903550499097
2022-09-08 00:00:00,395.39,400.86,394.12,400.38,2.6,+0.65%,80821600,45.1903550499097
2022-09-07 00:00:00,390.43,398.59,390.2,397.78,7.02,+1.80%,70964200,45.1903550499097
2022-09-06 00:00:00,393.13,394.12,388.42,390.76,-1.48,-0.0038,76637400,45.1903550499097
2022-09-02 00:00:00,400.28,401.555,390.33,392.24,-4.18,-0.0105,99632100,45.1903550499097
2022-09-01 00:00:00,392.89,396.78,390.04,396.42,1.24,+0.31%,78740000,45.1903550499097
2022-08-31 00:00:00,399.93,401.24,395.04,395.18,-3.03,-0.0076,76029600,45.1903550499097
2022-08-30 00:00:00,403.85,404.1,396,398.21,-4.42,-0.011,85652400,45.1903550499097
2022-08-29 00:00:00,402.2,405.84,401.1999,402.63,-2.68,-0.0066,65370800,45.1903550499097
2022-08-26 00:00:00,419.39,419.96,405.25,405.31,-14.2,-0.0338,103086900,65.686764236601
2022-08-25 00:00:00,415.24,419.56,414.09,419.51,5.84,+1.41%,50942200,75.349910910385
2022-08-24 00:00:00,412.11,415.1101,411.39,413.67,1.32,+0.32%,49177800,66.9938598722622
2022-08-23 00:00:00,412.9,415.42,411.77,412.35,-1,-0.0024,49105200,65.2329736927829
2022-08-22 00:00:00,417.05,417.23,412.4,413.35,-8.79,-0.0208,77695600,65.9628680312647
2022-08-19 00:00:00,424.98,425.26,421.22,422.14,-5.75,-0.0134,68016900,71.6057006036218
2022-08-18 00:00:00,426.86,428.61,425.5,427.89,1.24,+0.29%,49023200,74.5750907957881
2022-08-17 00:00:00,425.91,429.5,424.54,426.65,-3.05,-0.0071,63563300,72.8068282497244
2022-08-16 00:00:00,427.73,431.73,426.88,429.7,0.84,+0.20%,59289000,74.4138464548892
2022-08-15 00:00:00,424.77,429.41,424.71,428.86,1.76,+0.41%,54048200,73.1320101377089
2022-08-12 00:00:00,422.03,427.21,421.03,427.1,7.11,+1.69%,61694500,70.3958352695664
2022-08-11 00:00:00,422.99,424.95,419.21,419.99,0,0,59489700,60.5414258836288
2022-08-10 00:00:00,418.78,420.14,416.72,419.99,8.64,+2.10%,68665700,60.5414258836288
2022-08-09 00:00:00,412.22,412.75,410.22,411.35,-1.64,-0.004,44931700,50.565533869186
2022-08-08 00:00:00,415.25,417.62,411.83,412.99,-0.48,-0.0012,54025900,52.1763881511007
2022-08-05 00:00:00,409.66,414.15,409.6,413.47,-0.7,-0.0017,56814900,52.6625859737373
2022-08-04 00:00:00,414.37,415.09,412.44,414.17,-0.28,-0.0007,45656500,53.4065248022289
2022-08-03 00:00:00,410.3,415.68,410,414.45,6.39,+1.57%,67820500,53.7198333803549
2022-08-02 00:00:00,409.12,413,406.82,408.06,-2.71,-0.0066,63435400,46.1010517555843
2022-08-01 00:00:00,409.15,413.41,408.4,410.77,-1.22,-0.003,69997400,49.3799401821216
2022-07-29 00:00:00,407.58,413.03,406.77,411.99,5.92,+1.46%,87003600,50.8301163119431
2022-07-28 00:00:00,401.89,406.8,398.15,406.07,5.03,+1.25%,73966500,44.2113316241285
2022-07-27 00:00:00,394.36,402.88,394.05,401.04,10.15,+2.60%,82342100,39.5044417169763
2022-07-26 00:00:00,393.84,394.06,389.95,390.89,-4.68,-0.0118,52946300,32.0820302087158
2022-07-25 00:00:00,395.75,396.47,393.21,395.57,0.48,+0.12%,53631400,37.8777913899704
2022-07-22 00:00:00,398.92,400.18,392.75,395.09,-3.7,-0.0093,72197300,37.5241067360383
2022-07-21 00:00:00,394.16,398.84,391.63,398.79,4.02,+1.02%,64903800,42.0184530768567
2022-07-20 00:00:00,392.47,396.26,391.03,394.77,2.5,+0.64%,71843700,38.7562927438084
2022-07-19 00:00:00,386.08,392.87,385.39,392.27,10.32,+2.70%,78505900,36.8407479146336
2022-07-18 00:00:00,388.38,389.09,380.66,381.95,-3.18,-0.0083,63203600,30.204205418012
2022-07-15 00:00:00,382.55,385.25,380.54,385.13,7.22,+1.91%,79060300,34.1411533262954
2022-07-14 00:00:00,373.61,379.0498,371.04,377.91,-0.92,-0.0024,89704800,30.0031400237382
2022-07-13 00:00:00,375.1,381.92,374.658,378.83,-2,-0.0053,84224600,31.1482935535185
2022-07-12 00:00:00,383.65,386.16,378.99,380.83,-3.4,-0.0088,62219100,33.6881161091156
2022-07-11 00:00:00,385.85,386.87,383.5,384.23,-4.44,-0.0114,58366900,37.8831158195673
2022-07-08 00:00:00,387.27,390.64,385.66,388.67,-0.32,-0.0008,72397700,42.957977621719
2022-07-07 00:00:00,385.12,389.83,383.267,388.99,5.74,+1.50%,64525900,43.317408962361
2022-07-06 00:00:00,382.11,385.87,379.6,383.25,1.29,+0.34%,70426200,38.6168985720258
2022-07-05 00:00:00,375.88,381.98,372.9,381.96,0.72,+0.19%,81437900,37.6286555677806
2022-07-01 00:00:00,376.56,381.7,373.8,381.24,3.99,+1.06%,74839700,37.0586185587318
2022-06-30 00:00:00,376.24,380.6582,372.56,377.25,-3.09,-0.0081,112508200,33.9859945672553
2022-06-29 00:00:00,381.23,382.27,378.42,380.34,-0.31,-0.0008,65676000,38.2556026730694
2022-06-28 00:00:00,390.23,393.16,380.53,380.65,-7.94,-0.0204,86689800,38.684065529625
2022-06-27 00:00:00,391.05,391.36,387.44,388.59,-1.49,-0.0038,66009600,48.534879333833
2022-06-24 00:00:00,381.4,390.09,381.365,390.08,12.02,+3.18%,98050300,50.1532790831889
2022-06-23 00:00:00,376.64,378.83,372.89,378.06,3.67,+0.98%,79292100,39.3916141315034
2022-06-22 00:00:00,370.62,378.72,370.18,374.39,-0.68,-0.0018,90059400,36.7955148453551
2022-06-21 00:00:00,371.89,376.525,371.81,375.07,9.21,+2.52%,76811800,37.615902188141
2022-06-17 00:00:00,365.51,369.38,362.17,365.86,-0.79,-0.0022,111113900,31.6279595792398
2022-06-16 00:00:00,370.51,370.94,364.0799,366.65,-12.55,-0.0331,134473200,32.6187849743868
2022-06-15 00:00:00,377.36,383.9,372.12,379.2,5.33,+1.43%,125666800,46.0053866740607
